4171.1200 	 2137.2311 	 1072.6400 	  559.5636 	 1078.3400 	  563.0383
 159.8800 	   48.7675 	   45.6800 	    4.0863 	 1478.0200 	  187.6540
  58.8400 	   13.4868 	   50.8400 	    4.0267 	 1340.4200 	  200.4172
  61.5400 	   14.8838 	   50.7200 	    4.1571 	  561.0200 	  258.0844
  64.8400 	   15.1978 	   49.8000 	    3.9192 	  128.6200 	  232.7386
  62.2400 	   14.0236 	   51.4000 	    4.5343 	  359.0600 	  248.4851
  69.3200 	   16.0243 	   50.6400 	    5.1643 	  106.4000 	  196.3091
  63.9400 	   14.5388 	   53.0000 	    4.8083 	  263.7200 	  242.2863
  62.8200 	   14.9274 	   51.6400 	    4.7487 	 1341.4200 	  243.9407
  62.2200 	   14.8853 	   50.8000 	    4.0546 	  652.9000 	  264.7241
  62.0800 	   14.8187 	   50.8400 	    4.0267 	 1340.4200 	  200.4172
